chirp_mass,mass_ratio,a_1,a_2,dec,ra,theta_jn,psi,time_jitter,tilt_1,tilt_2,phi_12,phi_jl,phase,geocent_time,luminosity_distance,log_likelihood,log_prior,reference_frequency,waveform_approximant,minimum_frequency,total_mass,mass_1,mass_2,H1_log_likelihood,V1_log_likelihood,H1_matched_filter_snr,H1_optimal_snr,V1_matched_filter_snr,V1_optimal_snr,symmetric_mass_ratio,iota,spin_1x,spin_1y,spin_1z,spin_2x,spin_2y,spin_2z,phi_1,phi_2,chi_eff,chi_1_in_plane,chi_2_in_plane,chi_p,cos_tilt_1,cos_tilt_2,redshift,comoving_distance,mass_1_source,mass_2_source,chirp_mass_source,total_mass_source
6.017955303938036,0.7947693010487351,0.17170492983838342,0.0077037123907502504,1.3441515242631248,1.255335595683589,0.8698301363893326,0.952579726513762,-0.00010489384725206625,0.0,0.0,0.0,0.0,0.9825726759969957,1415188782.9215426,548.2042957200571,49.950718199119635,1.0238664248340026,100.0,IMRPhenomXP,20.0,13.935246863073555,7.764366626357377,6.170880236716179,52.64605853896481,-0.009372507444621703,(11.88936929026674-0.4716806753386433j),10.15387223276105,(-0.05560629403885075+0.8312402405011872j),2.1637808186966905,0.24673105666682174,0.8698301363893326,0,0,0.17170492983838342,0,0,0.0077037123907502504,0.0,0.0,0.09908103723790612,0.0,0.0,0.0,1.0,1.0,0.11425422868396722,491.9921185919349,6.968218227475592,5.538125930205833,5.400881727903132,12.506344157681426
6.003868408759214,0.7064370361909792,0.11227745627827744,0.05630733325995734,-0.34477609541415055,5.060790513867291,1.662985893303281,0.8356984715526552,-7.693559082868923e-05,0.0,0.0,0.0,0.0,3.0377429628045522,1415188782.884736,357.5579380040952,49.95738475163637,2.720807030148415,100.0,IMRPhenomXP,20.0,14.044148439941932,8.230100579210678,5.814047860731252,52.187439228126266,-0.0019200902140217718,(11.745659346706555+1.2747240493560745j),11.681881262305184,(-0.5720195898266498-0.16538912218873586j),1.6723335778418944,0.2426011878808341,1.662985893303281,0,0,0.11227745627827744,0,0,0.05630733325995734,0.0,0.0,0.08910674034693296,0.0,0.0,0.0,1.0,1.0,0.0764288221868109,332.17053340092815,7.6457452732368125,5.401237630296602,5.577580500457151,13.046982903533415
6.020676411639555,0.6992250331535463,0.19441531677309903,0.044925986865763524,0.5071904848058921,1.7394460908318232,0.521136159275037,0.3532268910980089,-3.0303328628199656e-05,0.0,0.0,0.0,0.0,5.50146704938262,1415188782.9247127,689.5857984912559,50.07906078370296,1.9537432473269902,100.0,IMRPhenomXP,20.0,14.098606271494699,8.29708013736678,5.801526134127918,50.59753976571778,-0.002103904913543869,(11.5264871788957-0.2396160729210437j),12.17813432609841,(-0.3269174983637109+0.7665115757769484j),0.8280572653277744,0.2421671179143577,0.521136159275037,0,0,0.19441531677309903,0,0,0.044925986865763524,0.0,0.0,0.13290099134760208,0.0,0.0,0.0,1.0,1.0,0.14126357284839197,604.2300964369531,7.27008233221598,5.08342355977273,5.275447806165417,12.353505891988712
5.983850978081315,0.5110346986933318,0.1582902852348039,0.006239004776377378,0.684832772110885,1.733555922380346,2.127735402621604,1.3958123610736393,7.566781879126891e-05,0.0,0.0,0.0,0.0,4.891710725305782,1415188782.9235992,470.6831980811113,50.13805544666732,2.366367583393834,100.0,IMRPhenomXP,20.0,14.690611055431415,9.722219528204832,4.968391527226583,49.79366897903311,-0.0015957545350419253,(11.440279673697452-2.3466208114472553j),11.484360728336396,(1.5502351913338566+0.14137958783845467j),0.25255179065441224,0.22382135184237675,2.127735402621604,0,0,0.1582902852348039,0,0,0.006239004776377378,0.0,0.0,0.1068662640907485,0.0,0.0,0.0,1.0,1.0,0.09908140698238499,428.2514398959585,8.845768353863754,4.520494565427773,5.444411069158608,13.366262919291527
5.998073335973597,0.6344781096954545,0.1345498232656587,0.019886924621935243,-0.01693819349435806,1.8886580224951122,0.30707006226787936,2.79983898557307,7.912020042784605e-05,0.0,0.0,0.0,0.0,2.659765258424882,1415188782.9178755,603.8753650720232,50.15562530687421,1.5891262145236649,100.0,IMRPhenomXP,20.0,14.210740725556542,8.694359772248262,5.516380953308279,51.783072626242735,-0.0363190533404294,(11.703107423482697-0.16440898275670313j),10.837840983764368,(0.9293786951361919-0.2760414005628588j),2.8951634238334853,0.23749716287422692,0.30707006226787936,0,0,0.1345498232656587,0,0,0.019886924621935243,0.0,0.0,0.09003953049873595,0.0,0.0,0.0,1.0,1.0,0.12498770572385878,536.7839676464207,7.728404255452719,4.903503322961948,5.331679008984559,12.631907578414667
5.994536015278695,0.9628326529933975,0.02596852347066686,0.0950671672478307,1.0113641586216426,1.921602894512062,2.6524847440073374,2.3506017876461858,-2.493122762831936e-05,0.0,0.0,0.0,0.0,6.0727785427001155,1415188782.9245276,728.7402714207193,50.28545744449462,1.3967990126419059,100.0,IMRPhenomXP,20.0,13.774790949503386,7.017812205485925,6.756978744017459,52.026326397784885,-0.005839740346827327,(11.695238801567825-0.6823456088863501j),12.11026925313508,(-0.8844930706985621-0.0570368716056618j),1.2599863584777486,0.24991036108622794,2.6524847440073374,0,0,0.02596852347066686,0,0,0.0950671672478307,0.0,0.0,0.059863634398616236,0.0,0.0,0.0,1.0,1.0,0.14860327743292248,634.4577648246583,6.109866081150687,5.882778568348689,5.218978678762103,11.992644649499377
5.992804264098648,0.9745008560642332,0.01643522539707643,0.0941526978953392,0.6209847743927513,1.0409032265907343,0.5397075043334572,0.5926252643179669,0.00010910834034446443,0.0,0.0,0.0,0.0,1.1802166590084433,1415188782.9202528,596.6794214524133,50.33788724861297,1.9133104397495062,100.0,IMRPhenomXP,20.0,13.769226681370943,6.973522771125611,6.795703910245332,51.239560664029405,-0.013097258740944362,(11.64991957410769+0.9075408584144367j),11.513880287186643,(0.22602751332580884+1.9266884378347258j),1.834381993963914,0.24995830571249306,0.5397075043334572,0,0,0.01643522539707643,0,0,0.0941526978953392,0.0,0.0,0.05479213126931262,0.0,0.0,0.0,1.0,1.0,0.12360768598102678,531.038929653829,6.206367986026188,6.048110915432171,5.333537976706081,12.25447890145836
5.962731091127424,0.6425687763320864,0.08873816425417086,0.010479011145252754,0.5553756038161168,1.9732715000462047,1.147399873873239,2.5273896702699834,0.000116565936868661,0.0,0.0,0.0,0.0,3.0241657691830124,1415188782.9240093,498.58156882907883,50.35525884508377,2.5303993282732957,100.0,IMRPhenomXP,20.0,14.103331962629799,8.586143950771445,5.517188011858353,50.716100295953716,-0.0034355666437254143,(11.59283806453296+0.8124544572097285j),11.34568743806017,(0.21058407056079834-1.6973156481471467j),0.9138239645278164,0.23816201300674647,1.147399873873239,0,0,0.08873816425417086,0,0,0.010479011145252754,0.0,0.0,0.058123380280086505,0.0,0.0,0.0,1.0,1.0,0.10457318483242446,451.3793874890686,7.773268506490183,4.994859632316142,5.398221840802729,12.768128138806325
5.970146020314793,0.5269770468523223,0.006285224970914428,0.263846567290792,-1.3253735315943114,4.510838559304498,1.8704212545938534,2.48980592965736,6.999221583309993e-05,0.0,0.0,0.0,0.0,0.8719089705433459,1415188782.8845572,456.552595288298,50.42206332214404,1.3253065155694221,100.0,IMRPhenomXP,20.0,14.57165715305491,9.542813484389049,5.028843668665861,49.59019575576831,-0.01147288007462216,(11.693599737483051+1.0567979607071243j),9.56106737346396,(1.5299447247687556-0.18828766483318882j),2.0010263512714705,0.22600949327861777,1.8704212545938534,0,0,0.006285224970914428,0,0,0.263846567290792,0.0,0.0,0.09517255686554756,0.0,0.0,0.0,1.0,1.0,0.09628596328256273,416.4539276306976,8.704675425940332,4.587164149770016,5.445792631001711,13.291839575710348
5.9531297391767275,0.6462438981753731,0.07023521661300901,0.00034019439444570314,-0.8181450253039616,5.295547293353149,0.6621780081025403,2.528010125608844,-1.3747198115393003e-05,0.0,0.0,0.0,0.0,0.9677834410843661,1415188782.8823771,763.0586722514339,50.44389906130893,1.9188973269923508,100.0,IMRPhenomXP,20.0,14.07020703967287,8.54685448205317,5.5233525576197,52.22459126558561,-0.00754796253026685,(11.569003887324794-0.9419063104721337j),10.26885754482545,(-0.7557305893073567-0.24649965797760773j),1.14603263273932,0.23845591458731333,0.6621780081025403,0,0,0.07023521661300901,0,0,0.00034019439444570314,0.0,0.0,0.04279746472725118,0.0,0.0,0.0,1.0,1.0,0.1549893431192288,660.6629598044276,7.399942287753978,4.782167550310919,5.154272439518249,12.182109838064896
