chirp_mass,mass_ratio,a_1,a_2,dec,ra,theta_jn,psi,time_jitter,tilt_1,tilt_2,phi_12,phi_jl,phase,geocent_time,luminosity_distance,log_likelihood,log_prior,reference_frequency,waveform_approximant,minimum_frequency,total_mass,mass_1,mass_2,H1_log_likelihood,V1_log_likelihood,L1_log_likelihood,H1_matched_filter_snr,H1_optimal_snr,V1_matched_filter_snr,V1_optimal_snr,L1_matched_filter_snr,L1_optimal_snr,symmetric_mass_ratio,iota,spin_1x,spin_1y,spin_1z,spin_2x,spin_2y,spin_2z,phi_1,phi_2,chi_eff,chi_1_in_plane,chi_2_in_plane,chi_p,cos_tilt_1,cos_tilt_2,redshift,comoving_distance,mass_1_source,mass_2_source,chirp_mass_source,total_mass_source
6.392547214411454,0.8077037800557297,0.5187604768836023,0.4206100187432913,0.24048978456101577,2.649303648210533,0.628604039212721,2.5062107191119254,1.4997284072002079e-05,0.0,0.0,0.0,0.0,2.027088578919362,1260808298.4387424,4866.543281305542,-0.06470256854741985,2.225512491340729,100.0,IMRPhenomXP,20.0,14.786840710601602,8.179902522605632,6.6069381879959685,0.027369153169868543,0.0018601937349477238,0.050652707486309234,(1.9480605050071038+0.3046846466785256j),0.6506968425022553,(0.17923401767775962+0.4862060360761888j),0.3733001689346461,(0.6526828307115178-1.1016989118724838j),0.365808561929885,0.24717103893224635,0.628604039212721,0,0,0.5187604768836023,0,0,0.4206100187432913,0.0,0.0,0.474905672280778,0.0,0.0,0.0,1.0,1.0,0.7624726605062532,2761.2021585138045,4.641151437921332,3.7486755602201454,3.627033404634633,8.389826998141478
4.891476435703241,0.8113984024481775,0.2951845386088697,0.4696908758586531,0.3178092562654688,4.931398057713511,2.014367976183595,1.6673815220980739,3.488811852757074e-05,0.0,0.0,0.0,0.0,5.815779252197747,1260808298.3959043,3593.495215152367,-0.055082616103049986,2.6325548874091282,100.0,IMRPhenomXP,20.0,11.311397206683292,6.244566182345908,5.066831024337384,0.07950728115052774,0.009640968130476879,-0.010530949941268242,(-0.19934102246191202-0.6425182468001495j),0.5219374628707029,(-0.4691878648800803-1.812929287249895j),0.22975803226597918,(0.5364089273873247+0.37509389279022487j),0.9925163284701128,0.2472897910063145,2.014367976183595,0,0,0.2951845386088697,0,0,0.4696908758586531,0.0,0.0,0.37335296531731055,0.0,0.0,0.0,1.0,1.0,0.5943703913184579,2253.8647540424727,3.916634563930901,3.177951028146847,3.067967432372007,7.094585592077748
2.545433403775216,0.9289114668808905,0.7185244192965154,0.6362831332541976,0.057930464145275425,3.511636980014193,2.3172105098119546,1.5237268208647146,0.0001410822086648939,0.0,0.0,0.0,0.0,2.1107203842630127,1260808298.4676018,3119.137734298644,-0.05040770584063359,2.474963789361685,100.0,IMRPhenomXP,20.0,5.852641176640892,3.03416785950513,2.818473317135762,-1.8679854870473633e-05,-0.00406178065290988,-0.0034966332477504025,(1.4365808421968502+1.3705690431393538j),0.9052644716885119,(0.271939255717486-0.5369589224502992j),0.26243008247793054,(2.048290433486489-1.0243273790051104j),1.0544495421720432,0.24966044156395012,2.3172105098119546,0,0,0.7185244192965154,0,0,0.6362831332541976,0.0,0.0,0.6789192456182889,0.0,0.0,0.0,1.0,1.0,0.5285266934698822,2040.6171118985787,1.9850277214441818,1.843915012525947,1.6652855423786361,3.828942733970129
5.5013434516283315,0.5081081901327502,0.361287250995685,0.5104768442090215,0.6784830285438465,1.1897436833867303,0.45519152304431176,2.3581310097904638,-9.621775503738131e-05,0.0,0.0,0.0,0.0,4.897421935162862,1260808298.3385303,1868.2829903818122,-0.04738819188048904,1.7135488127045413,100.0,IMRPhenomXP,20.0,13.521162741781552,8.965645057992399,4.555517683789154,0.04016643049985724,0.01708063316182573,-0.027705619039077423,(1.6043639668483165-0.04671650686607813j),1.4594966594131227,(1.2555978267144636+0.4357315933927599j),0.7586554486520418,(2.1336581099689096+0.36503340985586363j),1.936876205357627,0.22340413041508128,0.45519152304431176,0,0,0.361287250995685,0,0,0.5104768442090215,0.0,0.0,0.41155185050535076,0.0,0.0,0.0,1.0,1.0,0.342725131526696,1391.411352950813,6.677200603073798,3.392740313581136,4.097147899044113,10.069940916654932
5.7237700656372335,0.8511688169189817,0.5051658042755978,0.599603223796334,-0.3730277157015032,3.8893238456918655,3.0329513704454176,2.713186760128549,-0.00017416030850843004,0.0,0.0,0.0,0.0,1.025121246321857,1260808298.4059558,4203.022013240471,-0.03924524872805035,0.49279139665080507,100.0,IMRPhenomXP,20.0,13.20103514884573,7.131189240113202,6.0698459087325265,0.05680212306524113,-0.02040823340328224,-0.10964672671225606,(2.2232219062144565-1.183065993561344j),0.71867525755589,(1.1291774438923288-0.8853241104357527j),0.5216863458225401,(-0.028958402743768888+0.8583094520476074j),1.0877612137860047,0.24838402058274014,3.0329513704454176,0,0,0.5051658042755978,0,0,0.599603223796334,0.0,0.0,0.5485882009320691,0.0,0.0,0.0,1.0,1.0,0.6762393530163795,2507.411606054124,4.254278619148682,3.621109299104502,3.41464961751277,7.8753879182531845
5.201281349478988,0.6925395465592787,0.7508601080351449,0.5698698464260755,0.7787010640971661,2.1503136067260056,1.2139055046719582,1.650677249565015,-0.00021562005218675256,0.0,0.0,0.0,0.0,1.5069348592702292,1260808298.353433,4195.758528579884,-0.03764772563610985,2.3807076500520754,100.0,IMRPhenomXP,20.0,12.192427709817467,7.203629442279886,4.988798267537582,0.014014071891731983,0.009442223312025821,-0.0010884001193738335,(3.311777766319793-0.937618777535288j),0.43460123418967816,(3.027799474122197-0.16555598035933278j),0.13293921541955508,(0.5149103209657784+0.4040757196643939j),0.2814019259839573,0.24175024814377155,1.2139055046719582,0,0,0.7508601080351449,0,0,0.5698698464260755,0.0,0.0,0.6768039868879631,0.0,0.0,0.0,1.0,1.0,0.6752797649446673,2504.5121598445467,4.299956098686486,2.9778896468091447,3.1047240337501365,7.277845745495631
3.85641652254569,0.8897257150396725,0.5511199832055452,0.19605316098045453,-0.24320116016716486,5.080195434932462,2.0673783448307903,1.075446477899812,0.00023631239101566274,0.0,0.0,0.0,0.0,1.0407437791112766,1260808298.4543085,4767.840854623393,-0.029207880725634183,2.6271198667813547,100.0,IMRPhenomXP,20.0,8.877869905973768,4.697967453857391,4.179902452116377,0.00816606853053578,-0.0002736989698374978,0.01892524461513223,(-1.3667313660399336-0.20985221238710974j),0.21652778625011193,(1.7570932902718008-0.10904473213035275j),0.08304434415042006,(1.2765699251320997-1.4780546743910845j),0.59943510802376,0.24914868367090084,2.0673783448307903,0,0,0.5511199832055452,0,0,0.19605316098045453,0.0,0.0,0.3839464723743975,0.0,0.0,0.0,1.0,1.0,0.7498136395160071,2724.770664432202,2.6848387438315053,2.388770071121702,2.203901281517249,5.073608814953207
3.967462273991039,0.6733852037892599,0.03533461114542247,0.1575795191144027,-0.9063347235903797,0.17745843619960874,1.5690503371790592,2.530357077706122,-0.0002429189581541906,0.0,0.0,0.0,0.0,6.243868571120117,1260808298.4155788,3696.869055399453,-0.024956679155602624,2.3022351168166946,100.0,IMRPhenomXP,20.0,9.329744996769827,5.575371991842221,3.754373004927606,0.11446604180415543,0.0008249018787582219,0.006963760445386602,(0.0987329280289376-0.47094263402369146j),0.841713929768728,(0.9220174441653697+0.37165771851755985j),0.07900410366159431,(-1.37695718746593+0.41033729344626324j),0.7382605007775778,0.2404759894077885,1.5690503371790592,0,0,0.03533461114542247,0,0,0.1575795191144027,0.0,0.0,0.08452705773721025,0.0,0.0,0.0,1.0,1.0,0.6084573993592916,2298.3941456751654,3.4662851462917823,2.3341451296273763,2.4666256473882537,5.800430275919159
2.0453988085818113,0.7926127402601774,0.4252005390651368,0.7012599341367554,0.03147813225030608,5.135773495455811,2.16126592156174,1.1016440366930293,-9.7846194628662e-05,0.0,0.0,0.0,0.0,4.345415674140289,1260808298.3294888,3844.3083164632426,-0.012434117838090675,2.599707074106596,100.0,IMRPhenomXP,20.0,4.737237339290876,2.6426440205949446,2.0945933186959316,0.0018784133626291721,0.0020746403823449916,0.0007579800785529889,(0.9777023842713488-0.20387953322468053j),0.1143945283140569,(-0.4430221402115043+0.2584146980287562j),0.11933858438938488,(1.3797342104664707-0.2265052906755227j),0.47433788347697264,0.24665395946583824,2.16126592156174,0,0,0.4252005390651368,0,0,0.7012599341367554,0.0,0.0,0.5472615892228664,0.0,0.0,0.0,1.0,1.0,0.6284005949646114,2360.7878346053767,1.622846386059184,1.2862887210756955,1.2560783967450357,2.909135107134879
3.32891008949524,0.8234714307040822,0.06300919669266296,0.08769619149918412,0.9491704524515693,0.639272429291292,1.7880577613892856,1.9664602881684494,7.79354161480925e-05,0.0,0.0,0.0,0.0,5.491282769881412,1260808298.3467388,4027.191950115282,-0.002754717715761537,2.221254243021013,100.0,IMRPhenomXP,20.0,7.691157405743434,4.21786559209963,3.4732918136438036,-0.0009133603543708575,-0.003405964144066867,6.983360815183276e-05,(1.1874498789580248-1.089343741236792j),0.09545160674346817,(2.934892332437724+1.1198649409313874j),0.13467411384268374,(0.8212772981957054-1.9332130266732437j),0.08814158088455942,0.2476570010997946,1.7880577613892856,0,0,0.06300919669266296,0,0,0.08769619149918412,0.0,0.0,0.07415773161939924,0.0,0.0,0.0,1.0,1.0,0.6529067943147285,2436.4301428900785,2.5517867109066468,2.1013234536819607,2.0139732627061764,4.6531101645886075
