chirp_mass,mass_ratio,dec,ra,time_jitter,a_1,a_2,tilt_1,tilt_2,phi_12,phi_jl,theta_jn,psi,phase,geocent_time,luminosity_distance,log_likelihood,log_prior,reference_frequency,waveform_approximant,minimum_frequency,total_mass,mass_1,mass_2,H1_log_likelihood,L1_log_likelihood,V1_log_likelihood,H1_matched_filter_snr,H1_optimal_snr,L1_matched_filter_snr,L1_optimal_snr,V1_matched_filter_snr,V1_optimal_snr,symmetric_mass_ratio,iota,spin_1x,spin_1y,spin_1z,spin_2x,spin_2y,spin_2z,phi_1,phi_2,chi_eff,chi_1_in_plane,chi_2_in_plane,chi_p,cos_tilt_1,cos_tilt_2,redshift,comoving_distance,mass_1_source,mass_2_source,chirp_mass_source,total_mass_source
16.911158022935147,0.70835732440747,0.16767725846422102,5.233540311386103,-0.00012177892520608483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.135939774281537,1421382272.0535722,3745.0177201986257,6.197094896837841,3.470032622897345,100.0,IMRPhenomXP,20.0,39.54725745849048,23.14928902371588,16.397968434774594,0.9994014239504629,2.192961157831445,-0.0015585242365587226,(3.817338141383699-1.7264274824634316j),1.9752023415221012,(4.175997018719864+0.03530837369562794j),3.324311473128409,(-0.6432113084653454-1.2050174802871316j),0.2915321643204707,0.24271407446199308,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6149890651074783,2318.912134191929,14.334022145329687,10.15360957486316,10.47137617728062,24.487631720192848
17.35321826958396,0.9252333101045852,0.49837514515536296,5.1188194907814415,0.00015452724104286146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.048484498740053,1421382272.0582783,4324.0915341507825,6.279709515717359,3.3544585355236816,100.0,IMRPhenomXP,20.0,39.90334601695787,20.726498865111672,19.1768471518462,1.2904900528850183,2.3964749147523845,-0.0063841244125019125,(3.989993531550169-0.47115006843818213j),1.9361568722247209,(4.038842396510123+0.8796068430724474j),2.535354490525674,(-0.7393693978605074-1.325062941613784j),0.3932501634732746,0.24962295812895433,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6921815261166018,2555.3355256641294,12.24838975324181,11.332618194843002,10.2549389659205,23.58100794808481
19.185546271301853,0.9213161855142862,-0.2867578183677166,5.700852582759969,-6.788040503048808e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5945384194706427,1421382272.051501,4163.097943589201,6.6125231801990605,3.442465648916526,100.0,IMRPhenomXP,20.0,44.12122465967473,22.964062340350623,21.157162319324108,0.9926141409804234,3.296219456670845,0.02384156568183604,(4.293649356449816-1.2752461709991239j),1.6557495062839223,(4.533183985466658+0.681371040939046j),3.1964809013174333,(-0.5772252884774768-0.6404259489538436j),1.1337979031910186,0.2495807113199124,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6709604390679236,2491.44016107035,13.743031733988973,12.661677574560509,11.481747755801878,26.40470930854948
14.105098419107529,0.5191759854873892,0.9192881795524617,6.235358363921042,-5.4714132523450525e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0263379286096095,1421382272.0758665,2000.964538633163,6.876448299560072,2.983918836689366,100.0,IMRPhenomXP,20.0,34.52367878610656,22.725266273235952,11.798412512870604,0.9952557269350111,1.4002087925794529,-0.004239920928602148,(4.2630735473114445-0.4247833978017444j),5.095297132232996,(4.059126605690375+0.7173583370598393j),3.3488964915010304,(0.7094429060216456-0.12740479306831387j),1.3666898017235296,0.22495643591603354,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.36348479473791395,1467.53710902448,16.66704781816372,8.653130976160588,10.34488868049224,25.32017879432431
17.748643431890137,0.6330865670092045,-0.08727054527711435,5.414552472243648,-8.30747975817322e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3797889894185875,1421382272.0509493,2958.289845521498,6.89991246357498,3.480343909070146,100.0,IMRPhenomXP,20.0,42.06281686781405,25.756636370383525,16.306180497430525,0.8130583621652638,3.379171326301041,0.024423328267817235,(3.8430128825410845-2.1023113428121145j),2.1528070305464064,(4.190478153689989-0.05547088325151274j),4.473154268089613,(1.0935251797318546+0.08444390330571239j),0.9002915863724402,0.23738030614227434,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5057089823613204,1964.715541271455,17.1059857330404,10.829569783038977,11.787565618460956,27.935555516079376
18.45954720112631,0.9078953063033602,0.2577340443891561,0.43154018266754984,-0.00016899637057936958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0129077030602796,1421382272.0733626,2733.627118964556,6.9023481184879545,3.450569049742632,100.0,IMRPhenomXP,20.0,42.468314892015385,22.259248058165102,20.209066833850283,2.092171713505876,2.7470957428920375,0.026189278881117994,(4.194864767198849+1.641127643252092j),4.7128426596296675,(3.660118212127384-2.9401577420278673j),3.5158232126240754,(1.015505081954441-0.1896586428208777j),1.4236286322262524,0.24941736783775503,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4733733436463276,1855.352638012277,15.107676648389445,13.716188718221659,12.528764200010793,28.823865366611106
17.118542930251053,0.5689087396880754,-0.22130177573139725,6.253209880436705,-0.00013994375095814415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2871074083461613,1421382272.0606844,2073.0595170270385,6.911720131225822,3.459467064070042,100.0,IMRPhenomXP,20.0,41.224789971009486,26.27609173699016,14.948698234019325,0.9597961194378479,2.2230789651998233,0.12660300286081538,(3.7224453071374963-2.2432695505239253j),3.5994416241619995,(4.285905993189835-1.7493746991981474j),4.0679353221820485,(0.11670104676719256-0.35567827166161614j),2.6122780405236266,0.2311251686092567,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.37464229224025686,1508.0719781999217,19.11485765083509,10.874609575453558,12.453089088618782,29.98946722628865
14.214618851009448,0.7574683105661056,0.35231495653411543,1.4586829924112963,-0.0001297675138131959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.049002424841313,1421382272.0908167,4877.222180560756,6.979687315775311,3.4207658101589313,100.0,IMRPhenomXP,20.0,33.03554998494882,18.79723792818068,14.238312056768144,0.8869308411221724,2.926013240378312,-0.0012540999008399112,(3.092328866380775-0.45586941084773264j),2.552819020659777,(4.726911285555191-0.4737204484390376j),2.9953465915368556,(0.4727585330212383+0.23034678673670203j),0.5490013280307005,0.24523895828209905,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7638389675726854,2765.1176200782743,10.657003430448405,8.072342384158945,8.05890963536822,18.72934581460735
19.306497777162637,0.741901992208692,0.5223998866770031,4.948373996463396,0.00021466822142113945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.123707649142992,1421382272.0549555,2755.2100379851026,7.04959056068161,3.3410070115901744,100.0,IMRPhenomXP,20.0,44.94941418257505,25.80478946785072,19.144624714724323,1.3594794683536113,3.1985820065006,0.006416474872054989,(3.7281055447994818-1.1542240788215452j),3.2951490379943302,(4.6209644100462155+0.04687853117525838j),4.222350833342872,(-1.7794596522085673+0.26164843937062504j),1.0045468599678438,0.24451139620462833,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4765044991278875,1866.0356443609935,17.476946045943365,12.966181089209204,13.07581371310837,30.443127135152572
18.552879447434904,0.8865564327041778,0.9340767616952188,4.762732479290634,-0.00018443928178769377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.740630501745332,1421382272.0627782,1987.1362312213876,7.059341071398523,2.9642248824933324,100.0,IMRPhenomXP,20.0,42.71606635000148,22.642347511848637,20.073718838152846,1.1848974632437264,2.1897873845772846,-0.06432497476347399,(3.8151985437302516+2.16458691362649j),3.763845262313667,(4.7390698163851335-0.6855994378469482j),3.816499822201742,(0.8036465092135578-0.23827506520944025j),2.382578458446514,0.24909601722260616,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3613350436525707,1459.696675321783,16.632457687343013,14.745612354394003,13.628444763793082,31.37807004173702
18.17122074005095,0.7822568828623493,1.1843042787975993,5.234573849532078,0.00017452144215308684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.406442298283211,1421382272.069634,2220.933116402159,7.211535745704991,2.508491672652924,100.0,IMRPhenomXP,20.0,42.12489476924864,23.63570323352883,18.48919153571981,1.697194252728865,2.654526030967091,-0.05181277511891946,(4.199282030298921+1.6181987895480439j),4.728160385065902,(4.568503916066608-0.39315279024155525j),4.1088566803919075,(-0.751391686911388-0.22339103415450226j),2.0600409997109304,0.24626845847211215,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3972728122487903,1589.4770785829962,16.915596600988177,13.232341868845962,13.004776576741612,30.14793846983414
16.937364541287387,0.6997928044098718,-0.04346787845788359,5.068709157746443,-0.00019270716072917804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0515278469593614,1421382272.0478473,3135.2232911528954,7.334116622813371,3.4832118008733994,100.0,IMRPhenomXP,20.0,39.65877862868648,23.33153695309063,16.327241675595847,1.4296648565922894,2.402867988440205,-0.012509414278630837,(3.8370011447863694+2.181623683869061j),3.1106566585069473,(4.328783154911864+0.27266042628839615j),4.744735694198125,(-1.0313761846267417+0.10470507790363574j),0.8002317592694962,0.2422018743104108,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5307940908690235,2048.102557626343,15.241460031927247,10.665864059043342,11.064430312552444,25.90732409097059
