chirp_mass,mass_ratio,dec,ra,time_jitter,a_1,a_2,tilt_1,tilt_2,phi_12,phi_jl,theta_jn,psi,phase,geocent_time,luminosity_distance,log_likelihood,log_prior,reference_frequency,waveform_approximant,minimum_frequency,total_mass,mass_1,mass_2,H1_log_likelihood,L1_log_likelihood,H1_matched_filter_snr,H1_optimal_snr,L1_matched_filter_snr,L1_optimal_snr,symmetric_mass_ratio,iota,spin_1x,spin_1y,spin_1z,spin_2x,spin_2y,spin_2z,phi_1,phi_2,chi_eff,chi_1_in_plane,chi_2_in_plane,chi_p,cos_tilt_1,cos_tilt_2,redshift,comoving_distance,mass_1_source,mass_2_source,chirp_mass_source,total_mass_source
31.699973127616083,0.9124573095306971,-0.19446599132277476,2.620249819127587,8.168816826372642e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8229350042807697,1126259462.411511,497.9616643134838,260.1140811319358,3.202763658320065,100.0,IMRPhenomXP,20.0,72.91912701917308,38.12849921186836,34.79062780730471,173.36750385185363,74.90004740351625,(19.533550864041114+1.1432117629016632j),20.22762532835364,(13.312450724409112-1.7537487341851574j),11.44929620231478,0.2494761628568538,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.10445154628038741,450.8678227594046,34.522564018565525,31.50036588248155,28.702004387948406,66.02292990104708
30.524825502624,0.6185275447879268,-0.2144362094503736,2.6228239085988343,-5.817531262334574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8741826293546024,1126259462.4110582,526.0386799524488,260.1492092785399,3.1986227249356407,100.0,IMRPhenomXP,20.0,72.57413643989595,44.83960540159063,27.734531038305313,173.5977111542089,75.27630904055749,(19.47005792601702-1.8948514392132265j),18.198789312945614,(12.953266887556014-4.194400763997689j),10.085708087225301,0.2361124323301558,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.10994342977502826,473.9328757380721,40.398099757821946,24.987337457303347,27.501244373157828,65.3854372151253
31.738760224743814,0.9639846699503908,-1.0009696911445767,2.431972980022911,-0.00016679464345493056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.372822292700796,1126259462.406967,630.7913288096747,260.15058491855893,2.604654275290609,100.0,IMRPhenomXP,20.0,72.93123941750373,37.13432214282301,35.79691727468073,174.072960446974,75.54475140322762,(19.464751202270573-1.3684122471387197j),20.086076862006554,(13.334824655358501-0.9815895157677199j),11.635650945451854,0.24991593046994753,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.13013064870642121,558.1578790461571,32.85843294784367,31.675025640314125,28.084151386455073,64.53345858815779
31.67131256427202,0.8143790899781748,-0.8170786389503985,2.616228344887647,-0.0002326295186182006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.045265163256577,1126259462.4059112,615.4855371460167,260.20213141672735,2.8425129528995425,100.0,IMRPhenomXP,20.0,73.22236170299159,40.35670500582785,32.865656697163736,173.65499924697414,75.03444039684572,(19.548840473009797-0.4085761914303944j),20.985715738930736,(13.43907508142105+0.01885034810987496j),11.116807736777789,0.24738339757618236,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.12720975330036416,546.0257375367297,35.8023028878762,29.1566468449516,28.097088826229008,64.9589497328278
30.507605728006432,0.6621946177085862,-0.4920615151320562,2.6793561920674716,8.104296901135171e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.843050172936906,1126259462.407636,569.6376462603284,260.2338133972602,3.095504339624715,100.0,IMRPhenomXP,20.0,71.88445479425194,43.246713729194994,28.637741065056947,174.10968119970929,75.74435176415362,(19.572608303906016-0.14684058558252375j),19.937942228293405,(13.608356980209328-0.9986713185721502j),9.872740116663929,0.23967454031951604,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.11840224409735624,509.33163733856964,38.6683002090171,25.605940274350925,27.27784738363844,64.27424048336802
30.177254460058577,0.6762174111153352,-0.9931285260952107,2.518804761096403,0.00011012063746752268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.519213429733684,1126259462.4067712,590.8023152144923,260.26395334584873,2.6167874785752296,100.0,IMRPhenomXP,20.0,70.92908095344623,42.31496492227155,28.61411603117469,172.48305377788142,75.50847781297166,(19.191441378609486-3.3971292413428364j),20.700835518415936,(13.461859326169291-0.432038069173548j),12.041215900310021,0.24067204813501422,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1224789866706399,526.3370861086183,37.6977791341832,25.491894610915065,26.884471618989203,63.189673745098254
31.05460983745794,0.6990091911485297,0.09024444341111779,2.4898449396274884,3.983322878401411e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46674251437653336,1126259462.4169858,425.6228337686228,260.2685922585751,3.217714993329718,100.0,IMRPhenomXP,20.0,72.72290508140654,42.80312635168611,29.919778729720424,172.99026480814754,75.9025582801233,(19.349592200568857+2.662728152661613j),18.763822550189815,(13.38979134547455+0.4347346703596761j),14.260335001377364,0.24215387865995816,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.09013391295798352,390.4316990934449,39.264099431182316,27.445966384566194,28.48696794799637,66.71006581574851
30.602208237786627,0.6270646327989329,-0.606311050919574,2.6748075717224324,-4.771771717200469e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9253141858477212,1126259462.4067442,545.5858018794366,260.29702135949606,3.025480450401858,100.0,IMRPhenomXP,20.0,72.61914778993498,44.631999446151696,27.98714834378329,174.09410491313142,75.744992148436,(19.417752379001268-2.171081074960393j),21.619296141789288,(13.541537502497192-1.71225399169483j),10.728244786809311,0.23686598398105038,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.11374610409395274,489.86551012962013,40.073764821346266,25.12884062256829,27.47682629398011,65.20260544391455
31.866821819250752,0.9830255626959019,-1.1441744758234669,2.064312557997503,9.089050662447386e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.705427091491763,1126259462.408832,569.8486108817394,260.3183704768452,2.3394147510335106,100.0,IMRPhenomXP,20.0,73.21395034333348,36.920326051571365,36.29362429176211,173.2979145239213,75.21466453608596,(19.477430381710434-0.3752768041216204j),20.594867628130345,(13.305205849124517+0.5723049283052736j),13.231275314373406,0.24998168216442304,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.11844297387782901,509.5017120134337,33.01046804698716,32.45013392674464,28.492129293604616,65.4606019737318
31.486340494911556,0.9655425426190776,-0.6973424827561955,2.662665857062463,-0.0001569363192617444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.128928977282792,1126259462.4062877,605.701351761111,260.3443338890697,2.9559391731946167,100.0,IMRPhenomXP,20.0,72.34995696590677,36.809153400211194,35.54080356569558,174.7655458667019,76.10193070401417,(19.270059555740684-3.7098025697045514j),21.056436445632745,(13.34352531431979-2.4630810796300073j),10.71443304219475,0.24992316810098458,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.125337546841733,538.2397070786699,32.70943327494609,31.582349371920518,27.979463213751437,64.29178264686661
